Symbol,Name,Profile,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
AMGN,Amgen Inc.,GROWTH,STOCK,60.65,1.26x,34,4.66x,52,623.75x,0,3.04%,65,45.45%,100,13.17x,90,14.02x,93,0.22%,34,85.28%,97,22.90x,65,2.19x,5,19.33x,0,20.96%,84,Hold (2.51),49,101.32%,100,5.80%,56,2.36%,94
AMZN,"Amazon.com, Inc.",GROWTH,STOCK,62.51,1.18x,25,2.02x,92,53.30x,100,N/A,N/A,20.98%,57,19.31x,33,27.47x,42,8.93%,83,67.08%,84,32.44x,50,1.91x,13,6.60x,0,12.22%,49,Strong Buy (1.35),91,24.29%,99,16.60%,97,0.95%,97
APP,AppLovin Corporation,GROWTH,STOCK,69.05,3.32x,100,2.81x,85,171.80x,13,N/A,N/A,78.00%,100,37.26x,0,22.91x,66,18.40%,94,81.12%,95,43.42x,14,1.31x,60,79.06x,0,60.83%,100,Strong Buy (1.47),88,212.94%,100,65.90%,100,4.26%,87
ARM,Arm Holdings plc,GROWTH,STOCK,45.47,5.43x,100,1.90x,93,5.91x,76,N/A,N/A,23.20%,27,229.68x,0,99.71x,0,0.05%,33,95.04%,99,250.95x,0,2.86x,0,29.05x,67,17.15%,69,Buy (1.87),77,11.27%,38,26.30%,100,11.46%,21
ASML,ASML Holding N.V.,GROWTH,STOCK,56.95,1.36x,45,0.41x,98,12.99x,83,0.57%,9,37.71%,92,45.56x,10,31.67x,66,0.01%,33,18.80%,4,50.09x,22,2.30x,3,1329.49x,0,29.71%,100,Strong Buy (1.45),89,52.24%,100,13.20%,92,0.19%,98
AVGO,Broadcom Inc.,GROWTH,STOCK,76.21,1.90x,92,2.11x,92,82.70x,86,0.61%,10,54.51%,100,55.52x,2,22.77x,92,1.97%,43,79.87%,95,80.11x,0,0.93x,93,24.46x,78,36.57%,100,Strong Buy (1.28),92,33.37%,100,29.50%,100,1.18%,96
AXON,"Axon Enterprise, Inc.",GROWTH,STOCK,44.86,2.53x,100,2.82x,85,59.11x,99,N/A,N/A,1.93%,0,583.19x,0,40.81x,4,4.34%,57,85.99%,97,172.83x,0,1.64x,29,10.56x,0,4.49%,18,Buy (1.60),85,4.48%,4,38.50%,100,4.52%,86
BKNG,Booking Holdings Inc.,GROWTH,STOCK,83.73,1.06x,16,3.52x,75,N/A,N/A,0.96%,14,37.48%,99,13.09x,85,13.94x,93,0.19%,33,98.16%,99,22.63x,84,0.73x,100,-15.31x,100,22.23%,89,Buy (1.54),87,N/A,N/A,16.20%,96,3.46%,91
BKR,Baker Hughes Company,GROWTH,STOCK,43.18,2.13x,97,2.50x,88,82.94x,86,1.38%,21,17.28%,31,13.16x,2,22.79x,0,0.15%,33,102.48%,99,20.30x,4,2.68x,0,3.26x,40,11.17%,45,Buy (1.73),82,17.18%,86,2.50%,32,2.66%,93
CCEP,Coca-Cola Europacific Partners PLC,GROWTH,STOCK,46.40,0.80x,5,3.15x,81,130.00x,41,2.54%,51,16.39%,76,15.25x,28,16.34x,88,55.59%,0,37.53%,23,18.74x,68,2.71x,0,4.58x,9,9.29%,37,Buy (1.91),76,22.89%,98,0.20%,20,4.42%,86
CDNS,"Cadence Design Systems, Inc.",GROWTH,STOCK,60.29,1.47x,59,2.75x,86,46.99x,100,N/A,N/A,36.43%,89,49.63x,5,38.05x,35,0.34%,34,88.80%,98,83.19x,0,3.37x,0,14.80x,92,21.18%,85,Strong Buy (1.42),89,20.66%,96,18.70%,98,2.15%,95
CEG,Constellation Energy Corporation,GROWTH,STOCK,50.65,1.53x,65,3.51x,75,63.94x,90,0.53%,9,22.06%,9,21.11x,3,22.91x,66,0.35%,34,79.28%,95,42.12x,17,3.74x,0,6.70x,0,9.08%,36,Buy (1.76),81,16.36%,82,12.90%,91,3.18%,92
CHTR,"Charter Communications, Inc.",GROWTH,STOCK,58.01,0.40x,1,10.46x,1,459.52x,0,N/A,N/A,40.22%,100,5.49x,99,3.62x,99,36.28%,10,83.88%,97,4.34x,99,0.30x,80,1.20x,93,9.03%,36,Hold (2.90),31,27.50%,100,-1.00%,15,36.98%,0
CMCSA,Comcast Corporation,GROWTH,STOCK,68.13,0.86x,7,2.15x,91,106.86x,64,4.99%,95,28.23%,92,5.07x,99,6.88x,98,0.75%,36,90.06%,98,5.15x,99,142.98x,0,1.06x,95,15.00%,60,Hold (2.73),39,20.92%,96,5.30%,52,2.40%,94
COST,Costco Wholesale Corporation,GROWTH,STOCK,41.71,1.06x,16,3.71x,72,60.26x,99,0.59%,10,4.70%,1,33.22x,0,45.00x,2,0.17%,33,72.55%,90,52.66x,0,5.06x,0,27.15x,0,2.99%,12,Buy (1.97),74,29.65%,100,21.50%,99,1.48%,96
CPRT,"Copart, Inc.",GROWTH,STOCK,65.24,10.06x,100,3.87x,69,0.98x,72,N/A,N/A,42.14%,100,14.22x,78,20.17x,77,8.66%,82,86.12%,97,21.31x,87,4.06x,0,3.33x,38,33.76%,100,N/A,N/A,17.13%,86,-3.60%,7,3.89%,89
CRWD,"CrowdStrike Holdings, Inc.",GROWTH,STOCK,53.07,1.77x,86,1.63x,94,18.34x,87,N/A,N/A,-0.97%,0,-2655.07x,100,81.99x,0,1.57%,41,74.48%,92,N/A,N/A,3.86x,0,28.93x,67,-3.38%,0,Buy (1.62),85,-4.14%,0,23.30%,100,2.62%,93
CSCO,"Cisco Systems, Inc.",GROWTH,STOCK,75.18,0.95x,10,2.59x,88,66.51x,96,1.83%,31,27.59%,51,23.32x,82,20.43x,95,0.06%,33,83.71%,96,33.15x,83,1.42x,49,7.63x,96,18.76%,75,Buy (1.85),78,23.75%,99,9.70%,80,1.47%,96
CSGP,"CoStar Group, Inc.",GROWTH,STOCK,51.55,2.20x,98,2.54x,88,14.53x,84,N/A,N/A,7.97%,3,52.44x,0,19.67x,79,1.21%,39,108.57%,100,499.71x,0,0.15x,40,1.80x,64,0.73%,3,Buy (1.89),77,0.30%,1,22.50%,99,4.88%,84
CSX,CSX Corporation,GROWTH,STOCK,57.34,0.97x,11,3.31x,79,143.06x,30,1.23%,18,46.82%,100,15.56x,68,20.66x,75,0.24%,34,80.30%,95,27.28x,71,2.11x,6,6.08x,1,21.55%,86,Buy (2.04),71,23.68%,99,1.70%,27,2.27%,94
CTAS,Cintas Corporation,GROWTH,STOCK,56.35,1.98x,95,4.07x,65,60.94x,98,1.06%,15,26.33%,87,24.38x,6,31.34x,25,14.97%,100,68.17%,86,35.87x,36,2.69x,0,14.20x,0,17.57%,70,N/A,N/A,41.30%,100,8.90%,76,3.54%,90
CTSH,Cognizant Technology Solutions Corporation,GROWTH,STOCK,72.84,2.23x,98,6.56x,16,7.25x,78,2.57%,52,18.18%,10,6.22x,99,8.43x,99,0.11%,33,105.57%,100,11.27x,99,0.84x,97,1.63x,98,10.41%,42,Buy (2.17),66,14.88%,72,5.80%,56,7.55%,61
DASH,"DoorDash, Inc.",GROWTH,STOCK,49.12,1.41x,51,2.87x,85,32.75x,96,N/A,N/A,8.88%,4,58.10x,0,22.56x,67,0.68%,36,98.17%,99,80.45x,0,1.72x,24,7.42x,0,6.82%,27,Buy (1.62),85,10.44%,31,37.70%,100,2.97%,92
DDOG,"Datadog, Inc.",GROWTH,STOCK,48.61,3.38x,100,2.78x,86,34.27x,97,N/A,N/A,0.22%,0,6305.34x,0,71.41x,0,0.72%,36,90.44%,98,589.78x,0,N/A,N/A,17.83x,88,3.14%,13,Strong Buy (1.42),89,3.34%,3,29.20%,100,4.44%,86
DXCM,"DexCom, Inc.",GROWTH,STOCK,75.06,1.95x,94,3.77x,71,46.83x,100,N/A,N/A,26.82%,97,17.39x,44,19.95x,78,0.28%,34,100.06%,99,26.14x,42,1.14x,76,7.95x,0,19.31%,77,Strong Buy (1.41),90,35.62%,100,15.00%,95,4.53%,86
EA,Electronic Arts Inc.,GROWTH,STOCK,45.64,1.05x,15,5.15x,41,21.95x,90,0.38%,8,19.72%,48,32.81x,0,21.86x,70,0.21%,33,95.58%,99,57.22x,2,1.66x,28,8.17x,0,11.78%,47,Hold (2.79),36,13.49%,60,11.90%,88,4.81%,84
EXC,Exelon Corporation,GROWTH,STOCK,57.76,0.94x,9,5.70x,30,174.79x,65,3.73%,81,33.32%,73,11.62x,88,14.61x,92,0.07%,33,93.15%,99,16.27x,94,2.75x,0,1.58x,89,11.21%,45,Hold (2.82),35,9.76%,25,7.90%,70,4.77%,84
FANG,"Diamondback Energy, Inc.",GROWTH,STOCK,48.55,0.56x,2,2.45x,89,32.59x,96,2.26%,43,70.03%,100,7.38x,72,11.14x,47,30.65%,29,65.23%,82,194.34x,0,56.78x,0,1.47x,91,1.96%,8,Buy (1.53),87,0.47%,1,9.10%,77,4.28%,87
FAST,Fastenal Company,GROWTH,STOCK,51.90,4.39x,100,2.84x,85,11.17x,81,2.06%,37,22.37%,67,27.04x,2,32.44x,21,0.17%,33,87.77%,98,39.26x,24,3.22x,0,12.77x,0,15.39%,62,Hold (2.82),35,33.84%,100,12.40%,90,2.41%,94
FER,Ferrovial N.V.,GROWTH,STOCK,28.63,1.13x,21,2.65x,87,140.01x,32,1.46%,23,15.14%,19,40.30x,0,47.65x,1,36.22%,11,37.15%,22,49.32x,6,5.78x,0,7.29x,0,9.22%,37,N/A,N/A,14.32%,67,5.70%,55,0.67%,97
FTNT,"Fortinet, Inc.",GROWTH,STOCK,64.72,1.17x,25,3.03x,83,85.80x,84,N/A,N/A,32.74%,77,28.76x,65,31.68x,66,17.40%,97,72.16%,90,44.62x,41,2.18x,5,64.81x,3,27.26%,100,Hold (2.72),39,135.72%,100,14.80%,95,3.19%,92
GEHC,GE HealthCare Technologies Inc.,GROWTH,STOCK,68.35,1.22x,29,3.37x,78,97.06x,74,0.23%,6,16.79%,43,10.35x,98,11.40x,96,0.35%,34,93.39%,99,14.71x,95,1.74x,22,2.69x,61,9.10%,36,Buy (1.95),75,19.46%,94,7.40%,67,3.02%,92
GILD,"Gilead Sciences, Inc.",GROWTH,STOCK,77.02,1.55x,68,3.88x,69,112.92x,58,2.41%,47,49.51%,100,12.50x,93,13.94x,93,0.12%,33,92.38%,98,19.80x,82,0.38x,87,7.33x,0,28.90%,100,Buy (1.70),83,40.66%,100,4.70%,48,1.83%,95
GOOG,Alphabet Inc.,GROWTH,STOCK,67.87,1.92x,93,2.10x,92,20.03x,88,0.22%,6,38.18%,100,29.50x,1,27.52x,42,6.62%,70,60.79%,74,30.13x,60,1.56x,36,11.51x,0,37.92%,100,Strong Buy (1.42),89,38.88%,100,21.80%,99,N/A,N/A
GOOGL,Alphabet Inc.,GROWTH,STOCK,68.13,1.92x,93,2.72x,86,20.03x,88,0.22%,6,38.18%,100,29.70x,1,27.51x,42,0.56%,35,80.81%,95,30.38x,59,1.57x,35,11.59x,0,37.92%,100,Strong Buy (1.40),90,38.88%,100,21.80%,99,1.34%,96
HON,Honeywell International Inc.,GROWTH,STOCK,51.36,1.39x,48,3.04x,82,257.39x,0,2.19%,41,22.64%,69,19.16x,34,18.83x,82,0.07%,33,80.61%,95,34.46x,42,1.97x,11,10.07x,0,10.89%,44,Buy (2.00),73,24.26%,99,2.40%,32,1.75%,96
IDXX,"IDEXX Laboratories, Inc.",GROWTH,STOCK,51.51,1.12x,20,4.06x,65,71.04x,94,N/A,N/A,34.77%,100,30.14x,0,34.69x,14,0.71%,36,97.10%,99,42.04x,1,4.03x,0,28.41x,0,24.63%,99,Buy (2.13),67,72.91%,100,14.30%,94,2.97%,92
INSM,Insmed Incorporated,GROWTH,STOCK,55.63,3.83x,100,5.41x,35,101.43x,69,N/A,N/A,-161.68%,0,-29.45x,100,129.09x,0,0.55%,35,105.94%,100,N/A,N/A,1.09x,81,30.44x,0,-210.54%,0,Strong Buy (1.19),93,-249.28%,0,152.60%,100,7.24%,64
INTC,Intel Corporation,GROWTH,STOCK,52.19,2.31x,99,1.38x,95,36.03x,97,N/A,N/A,26.36%,43,40.69x,20,72.29x,0,12.95%,98,62.12%,77,N/A,N/A,1.36x,55,4.79x,97,-5.90%,0,Hold (2.67),42,-2.91%,0,7.20%,66,2.87%,93
INTU,Intuit Inc.,GROWTH,STOCK,86.30,1.32x,41,2.84x,85,36.15x,97,1.19%,18,30.35%,66,19.06x,91,15.36x,98,2.35%,45,90.91%,98,26.43x,94,1.00x,88,5.92x,97,21.57%,86,Strong Buy (1.47),88,23.46%,99,17.40%,97,3.90%,89
ISRG,"Intuitive Surgical, Inc.",GROWTH,STOCK,53.58,4.61x,100,4.03x,66,N/A,N/A,N/A,N/A,36.72%,100,40.20x,0,38.47x,7,0.56%,35,89.22%,98,55.17x,0,2.37x,2,9.20x,0,28.15%,100,Buy (1.94),75,17.23%,87,23.00%,100,1.89%,95
KDP,Keurig Dr Pepper Inc.,GROWTH,STOCK,65.29,2.31x,99,5.86x,27,85.98x,84,3.22%,70,26.22%,100,16.91x,10,11.29x,96,4.98%,61,97.84%,99,21.13x,34,0.96x,91,1.54x,90,10.81%,43,Buy (2.06),70,6.31%,8,9.40%,79,5.14%,82
KHC,The Kraft Heinz Company,GROWTH,STOCK,56.43,1.20x,27,4.76x,50,50.26x,100,6.94%,99,22.82%,99,7.93x,99,11.05x,96,27.79%,44,63.47%,79,N/A,N/A,0.99x,89,0.67x,97,-23.05%,0,Hold (3.14),22,-12.58%,0,0.80%,23,8.66%,48
KLAC,KLA Corporation,GROWTH,STOCK,62.04,3.03x,100,3.57x,74,105.40x,65,0.42%,8,44.67%,98,39.57x,23,35.54x,47,0.10%,33,94.13%,99,50.04x,22,1.93x,12,42.31x,30,35.66%,100,Buy (1.93),75,94.98%,100,11.50%,87,2.84%,93
LIN,Linde plc,GROWTH,STOCK,51.86,0.83x,6,2.75x,86,65.64x,97,1.28%,7,39.22%,98,18.57x,1,25.06x,55,0.26%,34,88.05%,98,32.79x,0,2.34x,2,5.99x,1,20.44%,82,Buy (1.67),84,18.23%,90,8.20%,72,1.45%,96
LRCX,Lam Research Corporation,GROWTH,STOCK,65.23,2.54x,100,2.54x,88,35.28x,97,0.35%,7,36.20%,89,47.23x,8,36.21x,44,0.29%,34,89.09%,98,54.16x,12,1.74x,22,33.85x,53,30.94%,100,Buy (1.56),86,66.76%,100,23.80%,100,2.33%,94
MAR,"Marriott International, Inc.",GROWTH,STOCK,66.38,N/A,N/A,3.70x,72,N/A,N/A,0.75%,11,64.12%,100,N/A,N/A,27.08x,44,17.80%,96,65.80%,82,36.86x,32,2.17x,5,-24.82x,100,35.05%,100,Buy (2.23),63,N/A,N/A,313.80%,100,2.36%,94
MCHP,Microchip Technology Incorporated,GROWTH,STOCK,56.60,2.16x,98,3.29x,79,82.38x,86,1.77%,30,22.41%,23,61.36x,1,38.16x,35,2.09%,43,99.61%,99,N/A,N/A,1.28x,63,8.38x,96,-1.57%,0,Buy (1.62),85,-1.09%,0,15.60%,96,5.93%,76
MDLZ,"Mondelez International, Inc.",GROWTH,STOCK,53.33,0.54x,1,3.76x,71,83.79x,85,3.23%,70,13.27%,41,18.95x,3,18.09x,84,0.21%,33,88.23%,98,30.35x,0,1.02x,87,3.04x,48,6.64%,27,Buy (1.88),77,10.16%,29,8.20%,72,3.25%,92
MELI,MELI,GROWTH,STOCK,46.50,1.17x,25,N/A,N/A,169.24x,14,N/A,N/A,13.91%,14,24.50x,6,27.58x,42,N/A,N/A,N/A,N/A,47.46x,7,1.13x,77,14.05x,0,6.91%,28,N/A,N/A,35.99%,100,44.60%,100,N/A,N/A
META,"Meta Platforms, Inc.",GROWTH,STOCK,86.22,2.35x,99,1.48x,95,35.61x,97,0.34%,7,50.85%,100,14.38x,77,17.05x,87,0.12%,33,78.53%,94,22.42x,84,0.89x,95,7.18x,0,32.84%,100,Strong Buy (1.35),91,32.93%,100,33.10%,100,1.21%,96
MNST,Monster Beverage Corporation,GROWTH,STOCK,55.70,3.70x,100,4.35x,59,0.80x,71,N/A,N/A,32.05%,100,26.94x,0,30.08x,30,28.49%,40,68.89%,86,36.70x,0,2.23x,4,9.00x,0,22.97%,92,Buy (2.00),73,26.82%,100,17.60%,98,3.09%,92
MPWR,"Monolithic Power Systems, Inc.",GROWTH,STOCK,56.96,4.79x,100,3.36x,78,0.54x,71,0.51%,9,28.99%,59,88.75x,0,52.26x,3,3.82%,54,102.13%,99,112.33x,0,2.17x,5,21.74x,83,22.98%,92,Strong Buy (1.38),90,19.57%,94,26.10%,100,4.34%,87
MRVL,"Marvell Technology, Inc.",GROWTH,STOCK,66.72,2.01x,95,1.16x,96,33.48x,96,0.14%,6,32.09%,75,54.02x,3,29.44x,75,0.41%,35,83.80%,97,52.29x,16,2.02x,9,9.48x,95,32.58%,100,Strong Buy (1.49),88,19.25%,93,22.10%,99,3.90%,89
MSFT,Microsoft Corporation,GROWTH,STOCK,85.57,1.28x,36,2.53x,88,30.27x,95,0.88%,13,57.96%,100,17.21x,93,21.74x,93,0.08%,33,76.06%,93,25.03x,95,1.28x,63,7.54x,96,39.34%,100,Strong Buy (1.31),91,34.01%,100,18.30%,98,1.12%,97
MSTR,Strategy Inc,GROWTH,STOCK,57.81,6.05x,100,2.04x,92,18.09x,87,N/A,N/A,0.00%,0,-5.52x,100,4.94x,100,0.21%,33,57.21%,67,N/A,N/A,2.85x,0,1.27x,98,0.00%,0,Strong Buy (1.27),92,-30.76%,0,11.90%,88,11.39%,21
MU,"Micron Technology, Inc.",GROWTH,STOCK,89.15,2.90x,100,0.69x,98,14.90x,84,0.09%,6,63.32%,100,19.71x,90,6.35x,100,0.25%,34,83.26%,96,30.50x,88,0.23x,74,10.07x,95,41.49%,100,Strong Buy (1.45),89,39.82%,100,196.30%,100,3.23%,92
NFLX,"Netflix, Inc.",GROWTH,STOCK,72.23,1.41x,51,2.14x,91,53.79x,100,N/A,N/A,30.47%,96,26.33x,3,22.97x,65,0.58%,35,84.43%,97,28.47x,66,1.29x,62,14.00x,0,28.52%,100,Buy (1.68),83,48.49%,100,16.20%,96,1.86%,95
NVDA,NVIDIA Corporation,GROWTH,STOCK,82.78,3.90x,100,1.68x,94,7.25x,78,0.02%,5,61.70%,100,38.19x,28,18.74x,96,4.21%,56,68.15%,86,43.08x,48,0.66x,100,32.68x,57,55.60%,100,Strong Buy (1.28),92,101.48%,100,73.20%,100,1.22%,96
NXPI,NXP Semiconductors N.V.,GROWTH,STOCK,88.01,2.24x,98,3.23x,80,103.99x,67,1.40%,21,37.95%,92,17.05x,93,16.47x,97,0.12%,33,99.17%,99,27.77x,92,0.77x,99,7.30x,96,21.03%,84,Buy (1.72),82,25.81%,99,12.20%,89,3.77%,89
ODFL,"Old Dominion Freight Line, Inc.",GROWTH,STOCK,41.73,1.56x,69,5.55x,33,0.91x,72,0.59%,10,31.29%,97,24.02x,7,31.95x,22,8.20%,79,83.21%,96,41.35x,18,2.86x,0,9.38x,0,18.46%,74,Hold (2.60),45,23.33%,99,-2.90%,9,6.84%,68
ORLY,"O'Reilly Automotive, Inc.",GROWTH,STOCK,56.25,0.76x,4,3.09x,82,N/A,N/A,N/A,N/A,22.44%,67,21.34x,18,26.19x,49,0.50%,35,88.99%,98,30.81x,57,2.30x,3,-73.78x,100,14.30%,57,Buy (1.65),84,N/A,N/A,10.20%,82,2.03%,95
PANW,"Palo Alto Networks, Inc.",GROWTH,STOCK,46.74,1.04x,15,3.06x,82,4.89x,75,N/A,N/A,15.53%,6,101.72x,0,49.51x,5,0.79%,36,75.59%,92,109.18x,0,3.08x,0,14.71x,92,12.96%,52,Buy (1.62),85,16.26%,81,14.90%,95,3.21%,92
PAYX,"Paychex, Inc.",GROWTH,STOCK,73.31,1.15x,23,4.60x,53,124.91x,46,5.05%,95,40.52%,96,23.01x,83,15.98x,98,10.33%,90,84.91%,97,20.81x,97,1.75x,22,8.41x,96,26.63%,100,Hold (3.26),18,N/A,N/A,19.90%,99,6.36%,72
PCAR,PACCAR Inc,GROWTH,STOCK,55.47,5.56x,100,4.77x,50,76.16x,91,1.23%,18,11.60%,8,20.63x,23,16.84x,87,1.86%,42,75.80%,93,24.27x,80,1.19x,72,3.11x,46,8.91%,36,Buy (2.35),57,13.11%,56,-8.90%,2,2.68%,93
PDD,PDD Holdings Inc.,GROWTH,STOCK,84.52,2.43x,99,3.40x,77,1.30x,72,N/A,N/A,21.70%,62,1.72x,100,7.19x,98,0.29%,34,32.13%,15,10.51x,98,0.73x,100,2.34x,73,22.66%,91,Buy (1.69),83,26.93%,100,12.00%,89,3.12%,92
PEP,"PepsiCo, Inc.",GROWTH,STOCK,54.00,0.90x,8,3.31x,79,244.84x,1,3.79%,82,19.59%,94,13.68x,56,17.08x,87,0.20%,33,79.54%,95,24.50x,7,1.68x,26,10.00x,0,9.15%,37,Hold (2.57),47,43.88%,100,8.50%,74,1.69%,96
PLTR,Palantir Technologies Inc.,GROWTH,STOCK,57.04,6.91x,100,1.10x,96,2.48x,73,N/A,N/A,38.63%,93,155.10x,0,67.45x,0,3.50%,52,61.89%,76,153.99x,0,2.10x,7,44.37x,25,43.67%,100,Buy (1.90),76,32.59%,100,84.70%,100,2.48%,94
PYPL,"PayPal Holdings, Inc.",GROWTH,STOCK,76.11,1.26x,33,2.77x,86,58.28x,99,1.21%,18,19.48%,46,6.57x,99,7.96x,98,0.67%,36,84.98%,97,8.67x,98,0.84x,97,2.10x,59,15.00%,60,Hold (2.84),34,25.12%,100,7.20%,66,5.58%,79
QCOM,QUALCOMM Incorporated,GROWTH,STOCK,75.69,2.37x,99,3.79x,70,55.98x,100,1.82%,31,29.22%,60,16.84x,93,19.06x,96,0.14%,33,82.77%,96,21.78x,97,0.82x,98,9.43x,95,22.31%,89,Hold (2.62),44,36.08%,100,-3.50%,8,5.14%,82
REGN,"Regeneron Pharmaceuticals, Inc.",GROWTH,STOCK,80.04,3.56x,100,4.49x,56,8.61x,79,0.53%,9,29.38%,99,15.08x,76,13.18x,94,2.03%,43,91.78%,98,17.31x,91,1.47x,44,2.33x,73,29.65%,100,Buy (1.62),85,14.55%,69,19.00%,98,2.86%,93
ROP,"Roper Technologies, Inc.",GROWTH,STOCK,72.56,0.53x,1,3.02x,83,55.61x,100,1.03%,15,39.37%,94,14.29x,96,14.75x,98,0.38%,34,102.37%,99,22.01x,97,1.44x,47,1.89x,98,21.12%,84,Buy (2.40),55,9.01%,20,11.30%,86,4.28%,87
ROST,"Ross Stores, Inc.",GROWTH,STOCK,54.75,1.58x,71,2.62x,87,84.24x,85,0.79%,12,14.14%,15,22.69x,12,27.62x,42,2.14%,44,93.93%,99,33.96x,44,3.33x,0,11.69x,0,9.43%,38,Buy (1.67),84,36.68%,100,12.20%,89,2.38%,94
SBUX,Starbucks Corporation,GROWTH,STOCK,36.25,0.92x,9,6.08x,23,N/A,N/A,2.38%,46,14.02%,15,26.23x,3,34.59x,14,0.13%,33,84.69%,97,79.59x,0,1.79x,19,-14.03x,100,3.89%,16,Buy (2.41),54,N/A,N/A,8.80%,75,4.42%,86
